rak,pak,mae,k
0, 0, 0, 0
0.001078066914498141323785255973, 0.005855018587360594795539033457, 0, 2
0.002230483271375464807831564082, 0.005653655514250309715397165316, 0, 4
0.002973977695167286410442085443, 0.005325278810408921892501140967, 0, 6
0.003791821561338290173313658937, 0.005121039121968489934761436, 0, 8
0.004832713754646840416968388822, 0.004899539741547176442821270517, 0, 10
0.005947955390334572810566112989, 0.005637500871701615131788158758, 0, 12
0.009739776951672862973561713989, 0.006809681541094180430671356416, 0, 14
0.01208178438661710100114874053, 0.008203291081079185092164336625, 0, 16
0.01394052044609665501799310176, 0.009350619294693206657270372264, 0, 18
